StartNodes: 1000, growth:100000, Search: MCTS
Size 1000:,1000,0.000147,0.000126,0.000192,0.000221,0.000182,0.000201,0.000172,0.000163,0.000161,0.00017,0.000161,0.00016,0.000154,0.000169,0.000158,0.000182,0.000128,0.000123,0.000134,0.000131,0.000127,0.000121,0.00017,0.000137,0.000138,0.000166,0.00015,0.000156,0.000168,0.000148,0.000148,0.000146,0.000166,0.000132,0.000143,0.000144,0.000173,0.000158,0.000155,0.000155,0.00014,0.000144,0.000178,0.000156,0.000151,0.000137,0.000121,0.000129,0.000116,0.000144,0.000153,0.000142,0.000138,0.000163,0.000157,0.00016,0.000154,0.000152,0.000154,0.000154,0.000151,0.000166,0.000159,0.000192,0.000135,0.000139,0.000141,0.000138,0.000132,0.000136,0.000146,0.000133,0.000156,0.000141,0.000132,0.000133,0.00014,0.000165,0.000122,0.000121,0.000119,0.000124,0.000127,0.000125,0.000165,0.000143,0.000139,0.000148,0.00015,0.000147,0.000147,0.000159,0.000166,0.000133,0.000131,0.000134,0.000122,0.000132,0.000134,0.00015,
Size 101000:,101000,0.0148,0.014571,0.015641,0.016127,0.016341,0.015798,0.015198,0.016011,0.016915,0.016975,0.016653,0.017273,0.01747,0.016791,0.018045,0.027136,0.017362,0.016427,0.016203,0.016734,0.015868,0.015049,0.014048,0.015739,0.01587,0.01615,0.016019,0.016397,0.017475,0.01705,0.016722,0.016919,0.01716,0.014396,0.015495,0.015651,0.015922,0.014764,0.016068,0.014756,0.015537,0.015497,0.016342,0.016174,0.016264,0.018306,0.015262,0.015211,0.015695,0.015639,0.014651,0.017897,0.016168,0.015528,0.015413,0.016037,0.015288,0.015746,0.015625,0.019434,0.015596,0.015776,0.015726,0.01345,0.016134,0.013668,0.015117,0.014223,0.017215,0.013583,0.015493,0.016278,0.015001,0.01519,0.015058,0.015988,0.015824,0.013901,0.015816,0.013747,0.015549,0.014746,0.015045,0.015411,0.014193,0.015923,0.014977,0.015902,0.015982,0.015752,0.014609,0.015813,0.014481,0.015636,0.013828,0.015382,0.013556,0.01521,0.014772,0.015644,
Size 201000:,201000,0.032737,0.033299,0.033283,0.030949,0.032944,0.033547,0.032222,0.033686,0.031429,0.032464,0.033319,0.031106,0.033878,0.03255,0.033852,0.034806,0.032229,0.03518,0.03475,0.033681,0.032766,0.033842,0.033071,0.033002,0.035259,0.033286,0.033336,0.033011,0.034271,0.03299,0.033995,0.033273,0.033005,0.03223,0.031359,0.031939,0.03165,0.035123,0.036005,0.03234,0.035042,0.034181,0.032206,0.032019,0.033519,0.032788,0.03212,0.0342,0.032268,0.034934,0.03528,0.033271,0.032288,0.033254,0.032334,0.032651,0.032431,0.032948,0.031672,0.031785,0.032756,0.032757,0.032526,0.034405,0.03216,0.032209,0.031866,0.032261,0.033074,0.032814,0.033822,0.033533,0.0334,0.033942,0.035889,0.032453,0.033553,0.033378,0.035676,0.033405,0.03342,0.033594,0.033344,0.034479,0.034601,0.034819,0.033681,0.034886,0.033078,0.0345,0.033928,0.033802,0.034738,0.035828,0.034734,0.0342,0.03443,0.036107,0.035288,0.034447,
Size 301000:,301000,0.054695,0.05485,0.055444,0.053206,0.053567,0.055697,0.052476,0.052469,0.055051,0.052871,0.051633,0.054987,0.055046,0.054167,0.055272,0.054786,0.056684,0.053376,0.050883,0.051618,0.053128,0.054998,0.070217,0.05165,0.054685,0.053031,0.054866,0.054718,0.05249,0.055247,0.052589,0.055131,0.05681,0.057327,0.056495,0.054834,0.054946,0.052942,0.053564,0.053848,0.055233,0.054629,0.054081,0.054885,0.054819,0.051651,0.056776,0.056532,0.055934,0.054959,0.055637,0.054861,0.055157,0.053821,0.055283,0.053868,0.053815,0.054093,0.054291,0.05587,0.053232,0.054398,0.052665,0.052973,0.054211,0.051949,0.053395,0.052819,0.052945,0.055354,0.054354,0.05701,0.054718,0.053969,0.05528,0.053192,0.053038,0.053569,0.053957,0.05426,0.052664,0.055292,0.05545,0.056233,0.055882,0.058756,0.054054,0.054261,0.055496,0.055652,0.053849,0.053779,0.052899,0.054873,0.057201,0.055064,0.056952,0.053203,0.054412,0.058624,
Size 401000:,401000,0.073146,0.069534,0.072646,0.073003,0.072425,0.072912,0.076926,0.07351,0.070918,0.074986,0.073233,0.074269,0.074431,0.075481,0.073388,0.074317,0.074777,0.073207,0.076107,0.075075,0.074127,0.074016,0.074999,0.073259,0.075952,0.074594,0.075577,0.076248,0.074786,0.075463,0.074812,0.074575,0.074934,0.076687,0.074399,0.075278,0.075148,0.076198,0.074897,0.075229,0.075485,0.075236,0.074394,0.075783,0.073945,0.075241,0.076558,0.073173,0.075472,0.07512,0.07787,0.074784,0.079716,0.079378,0.075634,0.075214,0.075667,0.07308,0.076886,0.074528,0.076998,0.072924,0.075842,0.077606,0.07501,0.075273,0.073625,0.071404,0.08626,0.076834,0.079732,0.076702,0.075323,0.07985,0.075547,0.074253,0.074718,0.074688,0.07564,0.075598,0.077661,0.076026,0.075094,0.080806,0.074564,0.077029,0.075962,0.077091,0.074926,0.076617,0.07662,0.076671,0.074352,0.076945,0.075095,0.075565,0.075709,0.074653,0.074111,0.075102,
Size 501000:,501000,0.09427,0.093817,0.095628,0.094979,0.09713,0.094603,0.09455,0.094288,0.096305,0.095302,0.093874,0.094562,0.093894,0.094663,0.09312,0.094125,0.093716,0.096688,0.090725,0.087223,0.093342,0.093165,0.095393,0.095057,0.095105,0.092227,0.094408,0.094611,0.094517,0.094175,0.093452,0.093743,0.093706,0.09499,0.095335,0.099138,0.0955,0.094337,0.094375,0.094672,0.094845,0.095438,0.094695,0.094563,0.094602,0.093891,0.093297,0.094303,0.094151,0.093465,0.094774,0.094189,0.094937,0.093794,0.092462,0.095996,0.094433,0.093576,0.094958,0.092879,0.094335,0.094896,0.094291,0.095371,0.09397,0.098146,0.094184,0.093679,0.095724,0.093781,0.093056,0.095587,0.094922,0.092885,0.094557,0.095471,0.094714,0.097744,0.096286,0.091293,0.099608,0.092506,0.090809,0.092495,0.093061,0.091435,0.091393,0.093828,0.092741,0.093247,0.096435,0.097392,0.096845,0.091775,0.095711,0.097775,0.096908,0.096265,0.096099,0.09864,
Size 601000:,601000,0.110159,0.108955,0.110783,0.11179,0.113776,0.111197,0.113558,0.112796,0.113945,0.112502,0.112653,0.112654,0.112971,0.112475,0.114514,0.12326,0.113378,0.115211,0.113594,0.111642,0.114616,0.114395,0.115086,0.113139,0.114081,0.109502,0.113859,0.114439,0.116951,0.115487,0.116127,0.113828,0.113244,0.115659,0.114272,0.110789,0.111269,0.109536,0.111083,0.111367,0.110913,0.11535,0.113937,0.11337,0.113732,0.113446,0.113595,0.11303,0.111284,0.110344,0.112747,0.113522,0.111575,0.112802,0.111908,0.112678,0.117033,0.108154,0.107311,0.111996,0.113536,0.114909,0.114946,0.113556,0.113492,0.112138,0.111106,0.112402,0.112133,0.112125,0.10799,0.112841,0.113902,0.112978,0.112199,0.112881,0.111894,0.112251,0.113064,0.115686,0.11501,0.116627,0.114529,0.114949,0.115716,0.116194,0.104132,0.112963,0.116405,0.112118,0.119086,0.115095,0.11603,0.114797,0.116042,0.114607,0.113731,0.112964,0.113219,0.115041,
Size 701000:,701000,0.132804,0.133533,0.134304,0.135328,0.132682,0.131255,0.130419,0.132101,0.133622,0.127533,0.117976,0.125842,0.129129,0.127723,0.126781,0.127275,0.127543,0.130302,0.133933,0.13234,0.130334,0.133585,0.132105,0.132945,0.12866,0.132037,0.138555,0.134121,0.134666,0.136924,0.136087,0.133621,0.133543,0.133594,0.133314,0.133041,0.132825,0.135543,0.135758,0.134281,0.132732,0.133671,0.133878,0.130627,0.123605,0.131198,0.132956,0.132224,0.133295,0.134615,0.134187,0.135028,0.133548,0.130167,0.130248,0.131394,0.135359,0.137265,0.139578,0.139105,0.1343,0.133794,0.130666,0.129584,0.13158,0.130371,0.133515,0.136968,0.135522,0.134723,0.133766,0.138844,0.135233,0.133247,0.134899,0.134042,0.133204,0.133998,0.1361,0.136933,0.133646,0.135286,0.134498,0.13436,0.131894,0.13385,0.13558,0.128634,0.132295,0.13008,0.130865,0.132034,0.132442,0.132581,0.134722,0.133184,0.132049,0.134557,0.134794,0.133062,
Size 801000:,801000,0.146685,0.15296,0.153646,0.153004,0.154558,0.152246,0.15163,0.153148,0.153395,0.153882,0.154316,0.152796,0.152751,0.152233,0.155343,0.155285,0.15282,0.153965,0.152994,0.151763,0.15106,0.152179,0.149689,0.151789,0.15228,0.152744,0.1512,0.152886,0.153147,0.14801,0.150431,0.152937,0.152532,0.15335,0.153614,0.153272,0.152349,0.152195,0.152813,0.152981,0.151727,0.15408,0.149187,0.153923,0.152097,0.148628,0.146246,0.148503,0.154491,0.154974,0.156723,0.154675,0.147218,0.151248,0.152553,0.147115,0.152315,0.153187,0.154869,0.152091,0.151683,0.15447,0.153562,0.15745,0.154179,0.154275,0.158274,0.154203,0.153375,0.154647,0.153901,0.152807,0.152464,0.152094,0.15182,0.154808,0.152257,0.152647,0.151721,0.153448,0.153132,0.1544,0.15293,0.153002,0.153296,0.151242,0.145552,0.150645,0.147905,0.146535,0.144386,0.145482,0.146459,0.150428,0.150782,0.151948,0.144674,0.14498,0.148135,0.148427,
Size 901000:,901000,0.173,0.170964,0.173577,0.173876,0.17305,0.172473,0.172573,0.172401,0.171905,0.173852,0.171716,0.172853,0.168044,0.172071,0.163685,0.171258,0.171626,0.170777,0.164404,0.171919,0.172763,0.16606,0.168039,0.17195,0.162576,0.164275,0.169298,0.161845,0.164266,0.167431,0.162436,0.163442,0.170169,0.169436,0.172408,0.169395,0.177809,0.173219,0.17118,0.168328,0.170499,0.170506,0.172397,0.168905,0.19877,0.154096,0.171184,0.170718,0.162466,0.165993,0.16961,0.162284,0.165646,0.162185,0.159624,0.174256,0.177346,0.160285,0.15254,0.163195,0.163513,0.171586,0.168015,0.165829,0.162289,0.165653,0.164461,0.153212,0.171236,0.161836,0.164303,0.172145,0.161566,0.164826,0.167508,0.180992,0.161902,0.167936,0.167536,0.172058,0.17326,0.163131,0.167962,0.170438,0.162554,0.165047,0.1624,0.161346,0.161819,0.162858,0.162799,0.161799,0.160696,0.160584,0.163852,0.160393,0.160082,0.16158,0.162393,0.165651,
